,genre,songName,artistName,imageURL,songURL,lyricsURL
23,Hip-Hop,Heatin Up (feat. Gunna),Lil Baby,https://i.scdn.co/image/ab67616d00004851f46a9ad551acbdab8f72fd89,,https://genius.com/Lil-Baby-Heatin-Up-lyrics
24,Hip-Hop,Turks (feat. Travis Scott),NAV,https://i.scdn.co/image/ab67616d0000485119df39f54bf7f87a2897136e,,https://genius.com/NAV-Turks-lyrics
25,Hip-Hop,Will - Remix,Joyner Lucas,https://i.scdn.co/image/ab67616d000048514ac196312c24faedb76a345e,https://p.scdn.co/mp3-preview/ff84edfceff0528291d0906dacc412e49854a81d?cid=dd555e5dcb514c99bd5674e226882fcf,https://genius.com/Joyner-Lucas-Will--Remix-lyrics
26,Hip-Hop,Emotionally Scarred,Lil Baby,https://i.scdn.co/image/ab67616d00004851f46a9ad551acbdab8f72fd89,,https://genius.com/Lil-Baby-Emotionally-Scarred-lyrics
27,Hip-Hop,"Numbers (feat. Roddy Ricch, Gunna and London On Da Track)",A Boogie Wit da Hoodie,https://i.scdn.co/image/ab67616d000048511072a34d8c8d75e9b2545d8a,https://p.scdn.co/mp3-preview/3d6e2e7b3a595e809911236557f01f7422c60b58?cid=dd555e5dcb514c99bd5674e226882fcf,https://genius.com/A-Boogie-Wit-da-Hoodie-Numbers-lyrics
28,Hip-Hop,Righteous,Juice WRLD,https://i.scdn.co/image/ab67616d000048516df47ee9cce261bc4aaf946e,,https://genius.com/Juice-WRLD-Righteous-lyrics
29,Hip-Hop,Trillionaire (feat. Youngboy Never Broke Again),Future,https://i.scdn.co/image/ab67616d00004851935d8d5369bc55e74a39303e,https://p.scdn.co/mp3-preview/18d3b87b0765cd6d8c0a418d6142b3b441c0f8b2?cid=dd555e5dcb514c99bd5674e226882fcf,https://genius.com/Future-Trillionaire-lyrics
30,Hip-Hop,Out Of Love (feat. Internet Money),Lil Tecca,https://i.scdn.co/image/ab67616d000048512cb4ba829a129ae307624664,,https://genius.com/Lil-Tecca-Out-Of-Love-lyrics
31,Hip-Hop,Commercial (feat. Lil Uzi Vert),Lil Baby,https://i.scdn.co/image/ab67616d00004851f46a9ad551acbdab8f72fd89,,https://genius.com/Lil-Baby-Commercial-lyrics
32,Hip-Hop,Lo Mein,Lil Uzi Vert,https://i.scdn.co/image/ab67616d00004851fddacedcd925ce3aa56bd991,https://p.scdn.co/mp3-preview/69f649375ee0411957d741722a41c6c6515fa8ad?cid=dd555e5dcb514c99bd5674e226882fcf,https://genius.com/Lil-Uzi-Vert-Lo-Mein-lyrics
33,Hip-Hop,Moana,G-Eazy,https://i.scdn.co/image/ab67616d000048519b6c96055af3892145d4396b,https://p.scdn.co/mp3-preview/a7229f4d91e5f427b9f13d2e8017d27d493b38ea?cid=dd555e5dcb514c99bd5674e226882fcf,https://genius.com/GEazy-Moana-lyrics
34,Hip-Hop,Havin My Way (feat. Lil Durk),Lil Skies,https://i.scdn.co/image/ab67616d000048512de00305c6fd84e36885dd9d,https://p.scdn.co/mp3-preview/a08d60a5ecd4d8f94067448794e9fd71186d4896?cid=dd555e5dcb514c99bd5674e226882fcf,https://genius.com/Lil-Skies-Havin-My-Way-lyrics
35,Hip-Hop,Oprah’s Bank Account (Lil Yachty & DaBaby feat. Drake),Lil Yachty,https://i.scdn.co/image/ab67616d000048515b7b1b505bb07d16608b8ed0,,https://genius.com/Lil-Yachty-Oprah’s-Bank-Account-lyrics
36,Hip-Hop,Pain 1993 (with Playboi Carti),Drake,https://i.scdn.co/image/ab67616d00004851bba7cfaf7c59ff0898acba1f,,https://genius.com/Drake-Pain-1993-lyrics
37,Hip-Hop,Nawfside,YoungBoy Never Broke Again,https://i.scdn.co/image/ab67616d000048511af4894da220a8af6c7a1347,https://p.scdn.co/mp3-preview/2d3f41bf439188679a86c1247c903d979bc01134?cid=dd555e5dcb514c99bd5674e226882fcf,https://genius.com/YoungBoy-Never-Broke-Again-Nawfside-lyrics
38,Hip-Hop,Zoo York (feat. Fivio Foreign & Pop Smoke),Lil Tjay,https://i.scdn.co/image/ab67616d000048514f221c0104af653803c7572a,https://p.scdn.co/mp3-preview/e26c5c48c80aa8667ef69b8bd616238d0bb77347?cid=dd555e5dcb514c99bd5674e226882fcf,https://genius.com/Lil-Tjay-Zoo-York-lyrics
39,Hip-Hop,2 Seater (feat. G-Eazy & Offset),YBN Nahmir,https://i.scdn.co/image/ab67616d00004851dc6f6d90b7e6c7e1e429fa7a,https://p.scdn.co/mp3-preview/adb5caab42b133fb0699573d23b8c234e2004978?cid=dd555e5dcb514c99bd5674e226882fcf,https://genius.com/YBN-Nahmir-2-Seater-lyrics
40,Hip-Hop,Shake The Room (feat. Quavo),Pop Smoke,https://i.scdn.co/image/ab67616d0000485162a57823eced1cb4fd93b2c1,,https://genius.com/Pop-Smoke-Shake-The-Room-lyrics
41,Hip-Hop,3 Headed Goat (feat. Lil Baby & Polo G),Lil Durk,https://i.scdn.co/image/ab67616d00004851a9237712a5a33cf1ea707bc7,,https://genius.com/Lil-Durk-3-Headed-Goat-lyrics
42,Hip-Hop,JUMP (feat. YoungBoy Never Broke Again),DaBaby,https://i.scdn.co/image/ab67616d0000485120e08c8cc23f404d723b5647,,https://genius.com/DaBaby-JUMP-lyrics
43,Hip-Hop,COOLER THAN A BITCH (feat. Roddy Ricch),Gunna,https://i.scdn.co/image/ab67616d00004851e99da49cbcf2e279885bec0c,https://p.scdn.co/mp3-preview/1b463690396e5f503768ebd9430170a2e9373f28?cid=dd555e5dcb514c99bd5674e226882fcf,https://genius.com/Gunna-COOLER-THAN-A-BITCH-lyrics
44,Hip-Hop,Only The Team (with Lil Mosey & Lil Tjay),Rvssian,https://i.scdn.co/image/ab67616d000048511b382fb4a70157f7b47af1ed,,https://genius.com/Rvssian-Only-The-Team-lyrics
45,Hip-Hop,Trap or Cap,Young M.A,https://i.scdn.co/image/ab67616d0000485134226495f677cdb391a52b24,https://p.scdn.co/mp3-preview/c6bc2eb8b6a99447ddc2eeda99074c723dd22086?cid=dd555e5dcb514c99bd5674e226882fcf,https://genius.com/Young-MA-Trap-or-Cap-lyrics
46,Hip-Hop,Cardigan,Don Toliver,https://i.scdn.co/image/ab67616d0000485145190a074bef3e8ce868b60c,https://p.scdn.co/mp3-preview/c3251140d22b335979a624039c6dba40e809a41c?cid=dd555e5dcb514c99bd5674e226882fcf,https://genius.com/Don-Toliver-Cardigan-lyrics
47,Hip-Hop,Need Me,J.I the Prince of N.Y,https://i.scdn.co/image/ab67616d0000485188bc767fdcba502f216d6722,https://p.scdn.co/mp3-preview/b53cb6ac369511c5bc2de7fb1f209212085c1a2e?cid=dd555e5dcb514c99bd5674e226882fcf,https://genius.com/JI-the-Prince-of-NY-Need-Me-lyrics
48,Hip-Hop,Excitement,Trippie Redd,https://i.scdn.co/image/ab67616d00004851de32a6662a7db272328f4761,,https://genius.com/Trippie-Redd-Excitement-lyrics
49,Hip-Hop,@ MEH,Playboi Carti,https://i.scdn.co/image/ab67616d0000485194b3462dba9f30136ccf5491,,https://genius.com/Playboi-Carti-MEH-lyrics
